exp_name,llm,layers,bloom_original
exp2b,anthropic,all_layers,1
exp2b,anthropic,all_layers,2
exp2b,anthropic,all_layers,3
exp2b,anthropic,all_layers,4
exp2b,anthropic,all_layers,5
exp2b,anthropic,all_layers,6
exp2b,deepseek,all_layers,1
exp2b,deepseek,all_layers,2
exp2b,deepseek,all_layers,3
exp2b,deepseek,all_layers,4
exp2b,deepseek,all_layers,5
exp2b,deepseek,all_layers,6
exp2b,google,all_layers,1
exp2b,google,all_layers,2
exp2b,google,all_layers,3
exp2b,google,all_layers,4
exp2b,google,all_layers,5
exp2b,google,all_layers,6
exp2b,openai,all_layers,1
exp2b,openai,all_layers,2
exp2b,openai,all_layers,3
exp2b,openai,all_layers,4
exp2b,openai,all_layers,5
exp2b,openai,all_layers,6
